Year,Bands,Pos Clean,Average of Value in Millions
2012,1 to 6,GK,0.84
2012,1 to 6,DF,1.10
2012,1 to 6,MF,0.90
2012,1 to 6,FW,2.23
2012,7 to 12,GK,1.25
2012,7 to 12,DF,0.98
2012,7 to 12,MF,0.90
2012,7 to 12,FW,1.11
2012,13 to 18,GK,1.01
2012,13 to 18,DF,1.28
2012,13 to 18,MF,0.71
2012,13 to 18,FW,2.50
2012,19 to 24,GK,0.50
2012,19 to 24,DF,0.97
2012,19 to 24,MF,0.68
2012,19 to 24,FW,1.42
2013,1 to 6,GK,0.93
2013,1 to 6,DF,1.51
2013,1 to 6,MF,1.70
2013,1 to 6,FW,2.00
2013,7 to 12,GK,0.98
2013,7 to 12,DF,1.18
2013,7 to 12,MF,0.83
2013,7 to 12,FW,1.51
2013,13 to 18,GK,0.73
2013,13 to 18,DF,0.83
2013,13 to 18,MF,0.67
2013,13 to 18,FW,0.96
2013,19 to 24,GK,0.55
2013,19 to 24,DF,0.67
2013,19 to 24,MF,0.54
2013,19 to 24,FW,1.22
2014,1 to 6,GK,1.02
2014,1 to 6,DF,1.36
2014,1 to 6,MF,1.05
2014,1 to 6,FW,1.98
2014,7 to 12,GK,0.97
2014,7 to 12,DF,1.07
2014,7 to 12,MF,1.16
2014,7 to 12,FW,2.27
2014,13 to 18,GK,0.75
2014,13 to 18,DF,0.89
2014,13 to 18,MF,1.10
2014,13 to 18,FW,1.40
2014,19 to 24,GK,0.86
2014,19 to 24,DF,0.82
2014,19 to 24,MF,0.72
2014,19 to 24,FW,1.04
2015,1 to 6,GK,1.38
2015,1 to 6,DF,1.92
2015,1 to 6,MF,2.40
2015,1 to 6,FW,4.33
2015,7 to 12,GK,0.82
2015,7 to 12,DF,0.84
2015,7 to 12,MF,1.25
2015,7 to 12,FW,1.00
2015,13 to 18,GK,0.69
2015,13 to 18,DF,1.10
2015,13 to 18,MF,1.17
2015,13 to 18,FW,2.12
2015,19 to 24,GK,0.49
2015,19 to 24,DF,0.55
2015,19 to 24,MF,0.73
2015,19 to 24,FW,0.73
2016,1 to 6,GK,1.92
2016,1 to 6,DF,2.11
2016,1 to 6,MF,2.85
2016,1 to 6,FW,2.77
2016,7 to 12,GK,1.23
2016,7 to 12,DF,1.57
2016,7 to 12,MF,2.04
2016,7 to 12,FW,3.27
2016,13 to 18,GK,0.94
2016,13 to 18,DF,1.39
2016,13 to 18,MF,2.06
2016,13 to 18,FW,3.09
2016,19 to 24,GK,0.68
2016,19 to 24,DF,0.63
2016,19 to 24,MF,0.91
2016,19 to 24,FW,1.39
2017,1 to 6,GK,2.46
2017,1 to 6,DF,2.39
2017,1 to 6,MF,4.01
2017,1 to 6,FW,7.17
2017,7 to 12,GK,0.62
2017,7 to 12,DF,1.23
2017,7 to 12,MF,1.01
2017,7 to 12,FW,1.58
2017,13 to 18,GK,1.42
2017,13 to 18,DF,1.88
2017,13 to 18,MF,2.61
2017,13 to 18,FW,2.15
2017,19 to 24,GK,1.24
2017,19 to 24,DF,1.09
2017,19 to 24,MF,1.30
2017,19 to 24,FW,1.55
2018,1 to 6,GK,3.50
2018,1 to 6,DF,4.26
2018,1 to 6,MF,4.98
2018,1 to 6,FW,7.11
2018,7 to 12,GK,1.31
2018,7 to 12,DF,2.70
2018,7 to 12,MF,2.70
2018,7 to 12,FW,5.96
2018,13 to 18,GK,3.16
2018,13 to 18,DF,2.06
2018,13 to 18,MF,3.18
2018,13 to 18,FW,2.13
2018,19 to 24,GK,0.77
2018,19 to 24,DF,1.39
2018,19 to 24,MF,1.27
2018,19 to 24,FW,1.44
2019,1 to 6,GK,2.52
2019,1 to 6,DF,3.06
2019,1 to 6,MF,3.64
2019,1 to 6,FW,6.67
2019,7 to 12,GK,1.33
2019,7 to 12,DF,1.71
2019,7 to 12,MF,1.73
2019,7 to 12,FW,2.65
2019,13 to 18,GK,2.32
2019,13 to 18,DF,1.86
2019,13 to 18,MF,2.48
2019,13 to 18,FW,2.23
2019,19 to 24,GK,0.38
2019,19 to 24,DF,1.22
2019,19 to 24,MF,2.21
2019,19 to 24,FW,0.86
2020,1 to 6,GK,2.95
2020,1 to 6,DF,4.99
2020,1 to 6,MF,4.39
2020,1 to 6,FW,7.53
2020,7 to 12,GK,1.44
2020,7 to 12,DF,2.05
2020,7 to 12,MF,2.08
2020,7 to 12,FW,2.47
2020,13 to 18,GK,1.52
2020,13 to 18,DF,1.54
2020,13 to 18,MF,1.46
2020,13 to 18,FW,2.48
2020,19 to 24,GK,1.13
2020,19 to 24,DF,1.16
2020,19 to 24,MF,1.42
2020,19 to 24,FW,0.87
2021,1 to 6,GK,4.00
2021,1 to 6,DF,3.18
2021,1 to 6,MF,5.12
2021,1 to 6,FW,5.80
2021,7 to 12,GK,3.13
2021,7 to 12,DF,2.14
2021,7 to 12,MF,2.77
2021,7 to 12,FW,2.03
2021,13 to 18,GK,1.25
2021,13 to 18,DF,1.58
2021,13 to 18,MF,1.78
2021,13 to 18,FW,2.63
2021,19 to 24,GK,0.66
2021,19 to 24,DF,1.39
2021,19 to 24,MF,1.55
2021,19 to 24,FW,3.04
Grand Total,,,1.899479167
