Year,Position,Value
2012,GK,0.9
2013,GK,0.8
2014,GK,0.897916667
2015,GK,0.84375
2016,GK,1.189583333
2017,GK,1.433333333
2018,GK,2.183333333
2019,GK,1.634375
2020,GK,1.758333333
2021,GK,2.260416667
2012,DF,1.083854167
2013,DF,1.047916667
2014,DF,1.03671875
2015,DF,1.1015625
2016,DF,1.426041667
2017,DF,1.647135417
2018,DF,2.602604167
2019,DF,1.959895833
2020,DF,2.437239583
2021,DF,2.070833333
2012,MF,0.797916667
2013,MF,0.932291667
2014,MF,1.009114583
2015,MF,1.389583333
2016,MF,1.965104167
2017,MF,2.230729167
2018,MF,3.032291667
2019,MF,2.516666667
2020,MF,2.337239583
2021,MF,2.804166667
2012,FW,1.813541667
2013,FW,1.422395833
2014,FW,1.671875
2015,FW,2.045833333
2016,FW,2.628645833
2017,FW,3.111458333
2018,FW,4.161458333
2019,FW,3.099479167
2020,FW,3.334375
2021,FW,3.373958333
