1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1.113636364,0.872727273,1.136363636,0.954545455,1.795454545,1.386363636,1.481818182,1.340909091,0.459090909,0.672727273,0.795454545,1.254545455,0.954545455,0.681818182,1.554545455,1.431818182,2.568181818,0.436363636,0.704545455,0.568181818,0.409090909,0.545454545,2.272727273,0.909090909
1.159090909,1.088636364,1.531818182,2.5,2.427272727,0.990909091,1.436363636,1.459090909,0.709090909,0.65,1.145454545,1.145454545,0.872727273,1.381818182,0.681818182,0.545454545,0.627272727,0.609090909,0.690909091,1.313636364,0.609090909,0.75,0.459090909,0.45
0.727272727,1.490909091,2.613636364,1.586363636,0.509090909,1.059090909,1.059090909,1.554545455,2.004545455,0.631818182,1.595454545,1.022727273,0.545454545,1.318181818,0.85,0.759090909,1.886363636,0.927272727,1.104545455,0.968181818,0.486363636,0.613636364,1.363636364,0.431818182
2.590909091,2.840909091,1.590909091,3.454545455,2.581818182,1.854545455,0.718181818,1.222727273,1.118181818,0.754545455,0.581818182,1.713636364,0.940909091,0.9,1.845454545,1.354545455,1.818181818,0.772727273,0.568181818,1.054545455,0.440909091,0.795454545,0.463636364,0.531818182
4,2.927272727,1.154545455,2.340909091,1.977272727,2.477272727,2.095454545,3,3.568181818,1.518181818,0.727272727,1.213636364,4.272727273,0.909090909,2.068181818,0.881818182,1.518181818,1.772727273,0.770454545,0.536363636,1.690909091,1.054545455,0.781818182,0.404545455
4.227272727,2,6.090909091,3.181818182,4.727272727,2.886363636,1.35,0.495454545,1.386363636,0.659090909,2.072727273,0.977272727,2.318181818,2.25,1.863636364,1.8,1.931818182,2.75,1.25,1.872727273,1.218181818,1.136363636,0.390909091,1.711363636
4.181818182,3.259090909,3.909090909,5.840909091,7.636363636,5,4.818181818,3.027272727,2.954545455,3.272727273,3.031818182,1.895454545,2.909090909,1.277272727,1.659090909,6,1.531818182,2.104545455,1.818181818,2.636363636,1,0.531818182,0.85,0.954545455
4.590909091,3.8,4,5.95,2.097727273,2.818181818,2.2,1.572727273,1.4,2.527272727,1.781818182,1.643181818,1.822727273,2.377272727,3,1.231818182,2.345454545,2.390909091,0.706818182,2.872727273,0.6,1.102272727,0.993181818,2.334090909
4.636363636,2.95,9.309090909,3.745454545,0.572727273,9.090909091,2,3.822727273,1.322727273,2.290909091,2.354545455,0.709090909,1.568181818,1.722727273,2.854545455,0.804545455,1.681818182,1.422727273,1.590909091,1.695454545,2,0.395454545,0.509090909,1.004545455
6.518181818,7.763636364,1.131818182,5.654545455,4.340909091,1.190909091,3.409090909,2.113636364,2,3.204545455,2.136363636,1.768181818,2.709090909,1.563636364,2.913636364,0.868181818,1.222727273,1.595454545,2.154545455,1.690909091,2.063636364,0.686363636,2.127272727,1.372727273
