Year,League Standing,Value
2012,1 to 6,1.209848485
2013,1 to 6,1.616287879
2014,1 to 6,1.331060606
2015,1 to 6,2.485606061
2016,1 to 6,2.479545455
2017,1 to 6,3.852272727
2018,1 to 6,4.971212121
2019,1 to 6,3.876136364
2020,1 to 6,5.050757576
2021,1 to 6,4.433333333
2012,7 to 12,1.000757576
2013,7 to 12,1.090909091
2014,7 to 12,1.311363636
2015,7 to 12,1.018181818
2016,7 to 12,2.020454545
2017,7 to 12,1.156818182
2018,7 to 12,3.166666667
2019,7 to 12,1.854166667
2020,7 to 12,2.083333333
2021,7 to 12,2.438636364
2012,13 to 18,1.271212121
2013,13 to 18,0.786363636
2014,13 to 18,1.047727273
2015,13 to 18,1.271969697
2016,13 to 18,1.903787879
2017,13 to 18,2.152272727
2018,13 to 18,2.58030303
2019,13 to 18,2.19469697
2020,13 to 18,1.675757576
2021,13 to 18,1.812121212
2012,19 to 24,0.901515152
2013,19 to 24,0.712121212
2014,19 to 24,0.828030303
2015,19 to 24,0.642424242
2016,19 to 24,0.873106061
2017,19 to 24,1.263257576
2018,19 to 24,1.298484848
2019,19 to 24,1.434848485
2020,19 to 24,1.199242424
2021,19 to 24,1.682575758
